loc_rowid,pl_name,pl_pnum,pl_orbper,st_dist,st_teff,pl_masse,pl_rade,pl_publ_date
29,55 Cnc e,5,0.73653900,12.59,5196.00,8.08000,1.910,2004-10
30,55 Cnc f,5,262.00000000,12.59,5196.00,44.81200,,2008-03
31,6 Lyn b,1,934.30000000,54.74,4938.00,,,2008-12
32,61 Vir b,3,4.21500000,8.51,5577.00,,,2010-01
33,61 Vir c,3,38.02100000,8.51,5577.00,,,2010-01
34,61 Vir d,3,123.01000000,8.51,5577.00,,,2010-01
35,7 CMa b,2,735.10000000,19.82,4826.00,,,2011-12
36,7 CMa c,2,996.00000000,19.82,4826.00,,,2019-10
37,70 Vir b,1,116.68800000,17.91,5495.00,,,1996-06
38,75 Cet b,1,691.90000000,83.15,4846.00,,,2012-12
39,8 UMi b,1,93.40000000,163.32,4847.00,,,
40,81 Cet b,1,952.70000000,101.53,4785.00,,,2008-12
41,91 Aqr b,1,181.40000000,44.08,4665.00,,,2013-07
42,AB Pic b,1,,50.12,,4290.50000,,2005-08
43,BD+03 2562 b,1,481.90000000,2618.00,4095.00,,,
44,BD+14 4559 b,1,268.94000000,49.42,4864.00,,,2009-12
45,BD+15 2375 b,1,153.22000000,774.00,4649.00,,,
46,BD+15 2940 b,1,137.48000000,431.61,4796.00,,,2013-06
47,BD+20 2457 b,2,379.63000000,1670.85,4259.00,,,2009-12
48,BD+20 2457 c,2,621.99000000,1670.85,4259.00,,,2009-12
49,BD+20 274 b,1,578.20000000,1383.85,4296.00,,,2012-09
50,BD+20 594 b,1,41.68550000,180.39,5766.00,22.24810,2.578,
51,BD+48 738 b,1,392.60000000,892.17,4414.00,,,2012-01
52,BD+48 740 b,1,733.00000000,678.94,4534.00,,,
53,BD+49 828 b,1,2590.00000000,447.59,4943.00,,,2015-04
54,BD-06 1339 b,2,3.87280000,20.28,4324.00,,,2013-03
55,BD-06 1339 c,2,125.94000000,20.28,4324.00,,,2013-03
56,BD-08 2823 b,2,5.60000000,41.38,4816.00,,,2010-03
57,BD-08 2823 c,2,237.60000000,41.38,4816.00,,,2010-03
58,BD-10 3166 b,1,3.48777000,84.61,5393.00,,,2000-12
59,BD-11 4672 b,1,1667.00000000,27.30,4475.00,,,2015-04
60,BD-13 2130 b,1,714.29999000,948.75,4545.00,,,2007-09
61,BD-17 63 b,1,655.60000000,34.49,4714.00,,,2009-03
62,CFBDSIR J145829+101343 b,1,10037.50000000,23.10,580.50,3337.10000,,2011-10
63,CHXR 73 b,1,,191.05,,3994.48600,,2006-10
64,CI Tau b,1,8.98910000,158.00,,3686.82800,,2019-06
65,CT Cha b,1,,165.00,,5403.00000,24.660,2008-11
66,CoRoT-1 b,1,1.50895570,805.31,5950.00,327.35000,16.700,2008-05
67,CoRoT-10 b,1,13.24060000,345.00,5075.00,874.00000,10.870,2010-09
68,CoRoT-11 b,1,2.99433000,560.00,6440.00,740.51000,16.030,2010-12
69,CoRoT-12 b,1,2.82804200,1150.00,5675.00,291.43800,16.140,2010-09
70,CoRoT-13 b,1,4.03519000,1060.00,5945.00,415.70400,9.920,2010-11
71,CoRoT-14 b,1,1.51214000,1340.00,6035.00,2415.40000,12.220,2011-04
72,CoRoT-16 b,1,5.35227000,840.00,5650.00,170.03200,13.110,2012-05
73,CoRoT-17 b,1,3.76810000,920.00,5740.00,772.29000,11.430,2011-07
74,CoRoT-18 b,1,1.90006930,870.00,5440.00,1102.82000,14.680,2011-09
75,CoRoT-19 b,1,3.89713000,770.00,6090.00,352.78000,14.460,2012-01
76,CoRoT-2 b,1,1.74299350,200.00,5625.00,1102.82000,16.432,2008-05
77,CoRoT-20 b,2,9.24285000,864.31,,1366.66900,,2012-02
78,CoRoT-20 c,2,1675.00000000,864.31,,,,
79,CoRoT-21 b,1,2.72474000,1398.83,6200.00,718.29580,14.572,2012-09
80,CoRoT-22 b,1,9.75598000,592.00,5939.00,12.20000,4.880,2014-11
81,CoRoT-23 b,1,3.63130000,600.00,5900.00,889.90000,11.770,2012-01
82,CoRoT-24 b,2,5.11340000,600.00,4950.00,5.70000,3.700,2014-07
83,CoRoT-24 c,2,11.75900000,600.00,4950.00,28.00000,5.000,2014-07
84,CoRoT-25 b,1,4.86069000,1000.00,6040.00,85.81000,12.110,2013-07
85,CoRoT-26 b,1,4.20474000,1670.00,5590.00,165.26000,14.120,2013-07
86,CoRoT-27 b,1,3.57532000,1035.15,5900.00,3302.11000,11.287,2014-02
87,CoRoT-28 b,1,5.20851000,560.00,5150.00,153.82972,10.705,2015-07
88,CoRoT-29 b,1,2.85057000,765.00,5260.00,270.15550,10.088,2015-07
89,CoRoT-3 b,1,4.25680000,680.00,6740.00,6883.91000,11.320,2008-12
90,CoRoT-4 b,1,9.20205000,741.60,6190.00,228.83000,13.340,2008-09
91,CoRoT-5 b,1,4.03789620,904.65,6100.00,148.42000,15.558,2009-10
92,CoRoT-6 b,1,8.88659300,657.24,6090.00,940.74000,13.068,2010-03
93,CoRoT-7 b,2,0.85359163,160.64,5275.00,3.17830,1.681,2009-10
94,CoRoT-7 c,2,3.69800000,160.64,5275.00,8.40000,,2009-10
95,CoRoT-8 b,1,6.21229000,380.00,5080.00,69.92000,6.390,2010-09
96,CoRoT-9 b,1,95.27265600,417.89,5625.00,266.97720,11.949,2010-03
97,CoRoTID 223977153 b,1,6.71837000,586.20,5970.00,47.67450,6.389,
98,DE CVn b,1,4098.10000000,30.55,,,,2018-11
99,DENIS-P J082303.1-491201 b,1,246.36000000,20.77,,9057.77000,,2013-08
100,DH Tau b,1,,140.00,,3496.00000,,2005-02
101,DMPP-1 b,4,18.57000000,62.00,6196.00,,,2019-12
102,DMPP-1 c,4,6.58400000,62.00,6196.00,,,2019-12
103,DMPP-1 d,4,2.88200000,62.00,6196.00,,,2019-12
104,DMPP-1 e,4,5.51600000,62.00,6196.00,,,2019-12
105,DMPP-2 b,1,5.20720000,134.00,6500.00,,,2019-12
106,DMPP-3 A b,1,6.67320000,48.90,5138.00,,,2019-12
107,DP Leo b,1,10220.00000000,305.06,13500.00,,,2010-01
108,DS Tuc A b,1,8.13826800,44.12,5428.00,,5.700,2019-06
109,EPIC 201238110 b,1,28.16560000,159.98,,,1.870,
110,EPIC 201497682 b,1,2.13174000,254.88,,,0.692,
111,EPIC 201615463 c,2,3.80464000,481.00,,,1.220,
112,EPIC 201754305 d,3,2.71578000,338.19,,,1.030,
113,EPIC 201833600 c,2,3.96151000,259.33,,,1.000,
